Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians per 1000,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Costa Rica,Americas,Latin America and the Caribbean,Central America,58035887491.0263,81.20259644,3366000.0,82.893,77.739,2.8939,5094114.0,45.6140350877193,63.6180610656738,51.9770812988281,15810.0,No
Cote d'Ivoire,Africa,Sub-Saharan Africa,Western Africa,59585159229.0292,36.45378947,2070000.0,59.119,56.593,0.2314,26378275.0,11.3725490196078,7.63549995422363,11.0614795684814,22900.0,No
Croatia,Europe,Southern Europe,Southern Europe,56213927132.0212,79.07978368,60021000.0,81.6,75.4,2.9996,4047200.0,31.1258278145695,79.0544204711914,56.7811813354492,22550.0,Yes
Cuba,Americas,Latin America and the Caribbean,Caribbean,90086000000.0,61.83630006,4276000.0,80.779,76.84,8.4218,11326616.0,53.2231404958678,51.0078392028809,32.282901763916,41860.0,No
Curacao,Americas,Latin America and the Caribbean,Caribbean,3234078212.2905,68.12721625,1293000.0,81.5,74.7,,155014.0,,29.58909034729,12.9960298538208,,Yes
Cyprus,Asia,Western Asia,Western Asia,22802068532.2673,86.06362996,4117000.0,83.032,78.921,1.9509,1207361.0,19.6428571428571,84.4954986572266,78.0345001220703,8600.0,Yes
Czech Republic,Europe,Eastern Europe,Eastern Europe,235270023656.641,80.86694441,36268000.0,82.1,76.3,4.1208,10698896.0,22.5,74.5298080444336,53.498348236084,122840.0,Yes
Denmark,Europe,Northern Europe,Northern Europe,365688067984.156,98.04643475,32903000.0,83.2,79.3,4.0099,5831404.0,39.6648044692737,94.4328918457031,68.6591720581055,45870.0,Yes
Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,3288872886.56313,55.68140925,63000.0,69.357,65.116,0.2237,988002.0,26.1538461538462,4.56801986694336,6.02586984634399,1480.0,No
Dominica,Americas,Latin America and the Caribbean,Caribbean,483678596.972585,69.61966879,322000.0,78.8,74.5,1.1189,71991.0,34.375,7.25008010864258,7.21909999847412,240.0,No
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,74984131332.4311,74.82428986,7550000.0,77.381,70.991,1.56,10847904.0,27.8947368421053,77.0124206542969,42.9821395874023,39060.0,No
Ecuador,Americas,Latin America and the Caribbean,South America,95950843000.0,54.06292473,2108000.0,79.838,74.282,2.0368,17643060.0,39.4160583941606,48.3974685668945,41.5069808959961,65680.0,No
"Egypt, Arab Rep.",Africa,Northern Africa,Northern Africa,351715245165.315,57.28286878,13026000.0,74.35,69.742,0.4521,102334403.0,27.4111675126904,35.7768783569336,34.5784606933594,329220.0,No
El Salvador,Americas,Latin America and the Caribbean,Central America,23324940000.0,33.8207289,2639000.0,77.842,68.455,1.5662,6486201.0,33.3333333333333,31.1478004455566,27.542760848999,12350.0,No
Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa,7454529309.38793,26.23999996,,59.918,57.743,0.4017,1402985.0,21.0,1.22457003593445,2.3850998878479,19270.0,No
Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,2041455160.97561,1.30890698,142000.0,68.555,64.153,0.0628,3213969.0,22.0,2.78560996055603,3.92878007888794,7480.0,No
Estonia,Europe,Northern Europe,Northern Europe,30759017473.7254,89.53232756,6103000.0,82.8,74.4,4.4833,1331057.0,28.7128712871287,85.3483810424805,56.3122482299805,18610.0,Yes
Eswatini,Africa,Sub-Saharan Africa,Southern Africa,3751567728.91541,30.3,1226000.0,64.845,56.007,0.3285,1160164.0,9.58904109589041,6.56376981735229,6.95044994354248,3120.0,No
Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,107062239280.072,18.61805145,812000.0,68.536,64.694,0.0769,114963583.0,38.7568555758684,5.2631402015686,10.8920001983643,172230.0,No
Faroe Islands,Europe,Northern Europe,Northern Europe,3219884847.21264,97.58195894,,85.0,80.6,,48865.0,,,,,Yes
Fiji,Oceania,Melanesia,Melanesia,4114600096.40808,49.96637301,969000.0,69.331,65.698,0.86,896444.0,19.6078431372549,17.604700088501,14.7469301223755,2820.0,No
Finland,Europe,Northern Europe,Northern Europe,274196740110.507,89.60738511,3290000.0,84.5,79.2,3.8118,5530719.0,46.0,98.0627975463867,82.810417175293,54490.0,Yes
France,Europe,Western Europe,Western Europe,2771809930478.43,83.33974409,211998000.0,85.6,79.7,3.2672,67391582.0,39.5147313691508,75.2104797363281,60.3403816223145,423350.0,Yes
French Polynesia,Oceania,Polynesia,Polynesia,3447543137.9415,72.70389531,300000.0,79.898,75.612,1.697,280904.0,,,,1020.73382,No
Gabon,Africa,Sub-Saharan Africa,Middle Africa,14503352951.4882,50.32012015,526000.0,68.669,64.382,0.6819,2225728.0,14.7887323943662,6.12375020980835,10.4272298812866,7460.0,No
"Gambia, The",Africa,Sub-Saharan Africa,Western Africa,1868469062.1863,19.83645444,619000.0,63.481,60.656,0.1021,2416664.0,8.62068965517241,2.24482011795044,3.20948004722595,2790.0,No
Georgia,Asia,Western Asia,Western Asia,15137018591.1869,68.84671356,7726000.0,78.14,69.349,7.1201,3714000.0,20.6666666666667,68.1185073852539,60.1599006652832,16900.0,No
Germany,Europe,Western Europe,Western Europe,3914470541609.35,88.13451691,39563000.0,83.4,78.6,4.2488,83240525.0,31.1706629055007,71.4854507446289,69.2855529785156,806090.0,Yes
Ghana,Africa,Sub-Saharan Africa,Western Africa,70776627999.4372,37.88415262,897000.0,65.177,62.991,0.1359,31072945.0,13.0909090909091,15.7771501541138,18.624870300293,44500.0,No
Gibraltar,Europe,Southern Europe,Southern Europe,,94.44447158,,,,,33691.0,,,,146.733922,No
Greece,Europe,Southern Europe,Southern Europe,203644992868.4,75.67120669,34005000.0,84.5,79.5,5.4789,10715549.0,21.6666666666667,142.882431030273,142.823150634766,84750.0,Yes
Greenland,Americas,Northern America,Northern America,2042180079.72519,69.48246178,,73.04,68.32,1.135,56367.0,,,,,Yes
Grenada,Americas,Latin America and the Caribbean,Caribbean,984811682.878589,59.07173536,526000.0,74.953,70.073,1.4067,112519.0,46.6666666666667,116.224258422852,93.2010726928711,2360.0,No
Guam,Oceania,Micronesia,Micronesia,,80.50546556,1667000.0,83.55,76.828,1.084,168783.0,,,,59.5164813,No
Guatemala,Americas,Latin America and the Caribbean,Central America,76206231566.9147,40.70304908,2560000.0,77.151,71.382,0.3549,16858333.0,19.375,23.5578994750977,20.0413703918457,35400.0,No
Guinea,Africa,Sub-Saharan Africa,Western Africa,14340050917.1588,21.83002304,99000.0,62.117,60.855,0.0832,13132792.0,16.6666666666667,6.99000978469849,16.2015590667725,28890.0,No
Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa,1456255016.62653,3.930509152,52400.0015258789,60.213,56.305,0.1274,1967998.0,13.7254901960784,0.0607100017368793,0.97377997636795,2800.0,No
Guyana,Americas,Latin America and the Caribbean,South America,4266532421.40669,37.32583679,315000.0,73.095,66.927,0.8023,786559.0,35.7142857142857,15.387619972229,7.78786993026733,5040.0,No
Haiti,Americas,Latin America and the Caribbean,Caribbean,13446602202.8186,32.47362713,938000.0,66.182,61.831,0.2343,11402533.0,2.54237288135593,0.533599972724915,1.59488999843597,9930.0,No
Honduras,Americas,Latin America and the Caribbean,Central America,22201408353.3006,32.13636364,2315000.0,77.551,72.96,0.3089,9904608.0,21.09375,30.2833099365234,22.1838207244873,22400.0,No
"Hong Kong SAR, China",Asia,Eastern Asia,Eastern Asia,365719202805.136,91.74340039,55913000.0,88.1,82.2,1.319,7481800.0,,85.470100402832,76.6970825195313,36448.702,Yes
Hungary,Europe,Eastern Europe,Eastern Europe,159229639441.272,80.37169361,61397000.0,79.3,72.9,3.4075,9749763.0,12.0603015075377,55.5622291564941,45.302360534668,60920.0,Yes
Iceland,Europe,Northern Europe,Northern Europe,24634234577.5015,99.01095399,2202000.0,84.2,81.0,4.0778,366425.0,38.0952380952381,95.7039184570313,51.765079498291,3440.0,Yes
India,Asia,Southern Asia,Southern Asia,2598299250058.05,20.08130004,17914000.0,70.95,68.464,0.8571,1380004385.0,14.3646408839779,30.217960357666,27.1105194091797,3374990.0,No
Indonesia,Asia,South-eastern Asia,South-eastern Asia,1029919366254.2,47.69064898,16107000.0,73.967,69.572,0.4269,273523621.0,20.3478260869565,38.9936599731445,33.7519607543945,969580.0,No
"Iran, Islamic Rep.",Asia,Southern Asia,Southern Asia,192237493038.314,70.00455222,9107000.0,77.885,75.593,1.5844,83992953.0,5.59440559440559,58.9113388061523,66.6073608398438,828280.0,No
Iraq,Asia,Western Asia,Western Asia,165414179484.228,75.00000131,892000.0,72.652,68.565,0.7079,40222503.0,26.4437689969605,11.9853801727295,20.128719329834,215690.0,No
Ireland,Europe,Northern Europe,Northern Europe,308373119536.768,84.52230206,10951000.0,84.3,80.4,3.3125,4994724.0,22.5,82.0600662231445,72.7032928466797,65090.0,Yes
Isle of Man,Europe,Northern Europe,Northern Europe,7111914609.73983,,,81.5,74.6,1.449,85032.0,,,,,Yes
Israel,Asia,Western Asia,Western Asia,392786885849.307,86.78787762,4905000.0,84.7,81.0,4.6249,9216900.0,27.5,72.5549163818359,50.9763984680176,87830.0,Yes
Italy,Europe,Southern Europe,Southern Europe,1905932276155.49,74.38718292,95399000.0,85.4,81.1,3.9774,59554023.0,35.7142857142857,74.1234970092773,55.1759185791016,399600.0,Yes
Jamaica,Americas,Latin America and the Caribbean,Caribbean,13253010657.6224,55.07206705,4233000.0,76.118,72.868,1.3061,2961161.0,28.5714285714286,34.6933898925781,19.8818092346191,10020.0,No
Japan,Asia,Eastern Asia,Eastern Asia,5252425968544.02,91.28160849,31882000.0,87.45,81.41,2.4115,125836021.0,9.89247311827957,,,1186770.0,Yes
